# Gaussfunctions
#        x,   Gauss 1,   Gauss 2,   Gauss 3
 0.0000000, 0.0000001, 0.0004290, 0.0000000
 0.1000000, 0.0000001, 0.0006003, 0.0000000
 0.2000000, 0.0000002, 0.0004924, 0.0000000
 0.3000000, 0.0000002, 0.0003756, 0.0000000
 0.4000000, 0.0000002, 0.0005072, 0.0000000
 0.5000000, 0.0000002, 0.0004629, 0.0000000
 0.6000000, 0.0000002, 0.0005675, 0.0000000
 0.7000000, 0.0000002, 0.0005733, 0.0000000
 0.8000000, 0.0000003, 0.0006365, 0.0000000
 0.9000000, 0.0000002, 0.0005828, 0.0000000
 1.0000000, 0.0000002, 0.0007132, 0.0000000
 1.1000000, 0.0000003, 0.0005320, 0.0000000
 1.2000000, 0.0000003, 0.0006669, 0.0000000
 1.3000000, 0.0000003, 0.0005682, 0.0000000
 1.4000000, 0.0000004, 0.0007118, 0.0000000
 1.5000000, 0.0000003, 0.0005546, 0.0000000
 1.6000000, 0.0000004, 0.0007754, 0.0000000
 1.7000000, 0.0000003, 0.0008276, 0.0000000
 1.8000000, 0.0000003, 0.0007695, 0.0000000
 1.9000000, 0.0000004, 0.0007077, 0.0000000
 2.0000000, 0.0000004, 0.0006999, 0.0000000
 2.1000000, 0.0000003, 0.0008501, 0.0000000
 2.2000000, 0.0000004, 0.0008218, 0.0000000
 2.3000000, 0.0000004, 0.0007316, 0.0000000
 2.4000000, 0.0000004, 0.0009669, 0.0000000
 2.5000000, 0.0000005, 0.0008821, 0.0000000
 2.6000000, 0.0000005, 0.0009965, 0.0000000
 2.7000000, 0.0000006, 0.0008946, 0.0000000
 2.8000000, 0.0000006, 0.0009760, 0.0000000
 2.9000000, 0.0000006, 0.0008550, 0.0000000
 3.0000000, 0.0000006, 0.0010449, 0.0000000
 3.1000000, 0.0000006, 0.0012269, 0.0000000
 3.2000000, 0.0000008, 0.0010265, 0.0000000
 3.3000000, 0.0000008, 0.0013049, 0.0000000
 3.4000000, 0.0000009, 0.0013672, 0.0000000
 3.5000000, 0.0000007, 0.0012298, 0.0000000
 3.6000000, 0.0000008, 0.0012413, 0.0000000
 3.7000000, 0.0000009, 0.0014073, 0.0000000
 3.8000000, 0.0000009, 0.0011685, 0.0000000
 3.9000000, 0.0000009, 0.0013556, 0.0000000
 4.0000000, 0.0000011, 0.0015367, 0.0000000
 4.1000000, 0.0000012, 0.0012057, 0.0000000
 4.2000000, 0.0000012, 0.0016551, 0.0000000
 4.3000000, 0.0000011, 0.0014593, 0.0000000
 4.4000000, 0.0000014, 0.0015203, 0.0000000
 4.5000000, 0.0000013, 0.0012540, 0.0000000
 4.6000000, 0.0000012, 0.0012672, 0.0000000
 4.7000000, 0.0000015, 0.0012721, 0.0000000
 4.8000000, 0.0000013, 0.0015854, 0.0000000
 4.9000000, 0.0000018, 0.0016620, 0.0000000
