 Temperaturmessung
 Zeit       Temperatur
 0.10min    727.93K
 0.20min    664.71K
 0.30min    642.50K
 0.40min    661.92K
 0.50min    600.08K
 0.60min    643.77K
 0.70min    646.84K
 0.80min    623.73K
 0.90min    555.46K
 1.00min    606.31K
 1.10min    619.02K
 1.20min    659.48K
 1.30min    656.95K
 1.40min    586.39K
 1.50min    620.74K
 1.60min    654.69K
 1.70min    575.84K
 1.80min    589.24K
 1.90min    621.90K
 2.00min    597.59K
 2.10min    591.88K
 2.20min    582.85K
 2.30min    573.24K
 2.40min    593.80K
 2.50min    531.87K
 2.60min    528.19K
 2.70min    569.58K
 2.80min    555.36K
 2.90min    586.59K
 3.00min    584.12K
 3.10min    541.02K
 3.20min    520.11K
 3.30min    571.38K
 3.40min    542.00K
 3.50min    526.18K
 3.60min    526.42K
 3.70min    531.52K
 3.80min    506.46K
 3.90min    517.43K
 4.00min    522.20K
 4.10min    490.53K
 4.20min    522.94K
 4.30min    552.87K
 4.40min    515.72K
 4.50min    522.89K
 4.60min    569.70K
 4.70min    508.97K
 4.80min    533.81K
 4.90min    509.14K
 5.00min    531.30K
 5.10min    491.88K
 5.20min    506.15K
 5.30min    512.02K
 5.40min    481.38K
 5.50min    533.57K
 5.60min    496.02K
 5.70min    506.58K
 5.80min    503.60K
 5.90min    491.48K
 6.00min    468.15K
 6.10min    491.74K
 6.20min    508.49K
 6.30min    525.40K
 6.40min    466.26K
 6.50min    480.76K
 6.60min    444.90K
 6.70min    432.17K
 6.80min    450.61K
 6.90min    469.23K
 7.00min    449.20K
 7.10min    453.14K
 7.20min    403.98K
 7.30min    475.30K
 7.40min    458.69K
 7.50min    469.97K
 7.60min    459.28K
 7.70min    485.70K
 7.80min    414.68K
 7.90min    428.61K
 8.00min    432.05K
 8.10min    450.21K
 8.20min    491.70K
 8.30min    404.51K
 8.40min    416.80K
 8.50min    432.48K
 8.60min    410.27K
 8.70min    433.08K
 8.80min    435.82K
 8.90min    390.19K
 9.00min    423.83K
 9.10min    398.14K
 9.20min    446.51K
 9.30min    411.71K
 9.40min    426.07K
 9.50min    427.41K
 9.60min    395.99K
 9.70min    433.79K
 9.80min    425.02K
 9.90min    423.91K
10.00min    411.78K
10.10min    432.86K
10.20min    391.86K
10.30min    402.27K
10.40min    384.61K
10.50min    418.26K
10.60min    424.48K
10.70min    416.53K
10.80min    419.14K
10.90min    416.34K
11.00min    394.24K
11.10min    416.35K
11.20min    420.72K
11.30min    372.91K
11.40min    400.12K
11.50min    392.11K
11.60min    402.15K
11.70min    400.85K
11.80min    387.19K
11.90min    387.20K
12.00min    407.67K
12.10min    369.99K
12.20min    384.23K
12.30min    380.68K
12.40min    411.98K
12.50min    388.13K
12.60min    376.09K
12.70min    403.19K
12.80min    386.86K
12.90min    383.21K
13.00min    377.56K
13.10min    383.38K
13.20min    388.30K
13.30min    387.45K
13.40min    381.56K
13.50min    367.42K
13.60min    361.18K
13.70min    378.80K
13.80min    369.65K
13.90min    344.06K
14.00min    355.26K
14.10min    361.07K
14.20min    379.21K
14.30min    382.38K
14.40min    345.36K
14.50min    369.70K
14.60min    334.45K
14.70min    373.65K
14.80min    345.17K
14.90min    338.97K
15.00min    368.14K
15.10min    351.21K
15.20min    344.79K
15.30min    354.53K
15.40min    343.06K
15.50min    361.19K
15.60min    364.59K
15.70min    347.57K
15.80min    349.61K
15.90min    352.30K
16.00min    319.04K
16.10min    354.10K
16.20min    323.67K
16.30min    378.96K
16.40min    343.55K
16.50min    305.27K
16.60min    364.56K
16.70min    333.52K
16.80min    346.77K
16.90min    319.87K
17.00min    347.41K
17.10min    334.53K
17.20min    363.62K
17.30min    341.65K
17.40min    343.13K
17.50min    336.70K
17.60min    363.77K
17.70min    344.19K
17.80min    347.37K
17.90min    320.87K
18.00min    294.55K
18.10min    352.21K
18.20min    345.14K
18.30min    347.12K
18.40min    356.00K
18.50min    335.85K
18.60min    349.20K
18.70min    352.83K
18.80min    358.10K
18.90min    343.00K
19.00min    327.69K
19.10min    333.90K
19.20min    368.74K
19.30min    325.19K
19.40min    322.23K
19.50min    322.68K
19.60min    339.12K
19.70min    307.97K
19.80min    338.51K
19.90min    317.84K
20.00min    313.84K
20.10min    320.49K
20.20min    322.88K
20.30min    292.11K
20.40min    339.42K
20.50min    320.40K
20.60min    347.90K
20.70min    305.56K
20.80min    318.05K
20.90min    307.75K
21.00min    319.74K
21.10min    325.74K
21.20min    308.78K
21.30min    337.35K
21.40min    315.19K
21.50min    296.39K
21.60min    311.13K
21.70min    322.56K
21.80min    310.00K
21.90min    300.28K
22.00min    335.05K
22.10min    307.98K
22.20min    300.04K
22.30min    331.96K
22.40min    321.05K
22.50min    300.50K
22.60min    335.38K
22.70min    316.71K
22.80min    318.48K
