Spannungsmessung
 Strom          U1          U2          U3
 0.00A       0.00V       0.00V       0.00V
 0.10A      38.88V       3.80V       8.34V
 0.20A      79.28V       8.35V      16.85V
 0.30A     118.55V      11.79V      25.30V
 0.40A     157.13V      14.49V      33.74V
 0.50A     187.81V      18.65V      39.19V
 0.60A     230.45V      25.32V      49.69V
 0.70A     232.43V      28.29V      58.06V
 0.80A     259.46V      32.78V      61.37V
 0.90A     272.40V      32.09V      67.38V
 1.00A     304.27V      36.84V      78.26V
 1.10A     320.13V      42.32V      76.56V
 1.20A     324.38V      47.50V      97.53V
 1.30A     351.65V      49.68V      94.33V
 1.40A     359.10V      54.40V     103.85V
 1.50A     368.26V      63.92V     107.10V
 1.60A     347.50V      61.45V     111.62V
 1.70A     326.75V      68.63V     132.89V
 1.80A     334.21V      80.58V     135.00V
 1.90A     283.91V      71.37V     148.42V
 2.00A     283.67V      78.79V     145.09V
 2.10A     279.97V      84.98V     154.50V
 2.20A     269.21V      86.56V     162.78V
 2.30A     255.44V      94.96V     157.09V
 2.40A     209.02V      85.20V     164.54V
 2.50A     195.10V      94.61V     187.81V
 2.60A     165.61V     104.12V     174.70V
 2.70A     128.98V     106.26V     192.83V
 2.80A     101.10V     107.03V     203.51V
 2.90A      73.50V     112.04V     206.23V
 3.00A      43.05V     121.07V     221.54V
 3.10A      12.12V     125.80V     218.63V
 3.20A     -16.48V     119.20V     220.76V
 3.30A     -44.25V     122.21V     229.60V
 3.40A     -73.15V     137.62V     238.03V
 3.50A    -107.80V     129.92V     242.15V
 3.60A    -117.70V     125.69V     253.66V
 3.70A    -145.15V     141.14V     228.25V
 3.80A    -176.15V     133.54V     271.36V
 3.90A    -169.37V     140.33V     278.76V
 4.00A    -204.05V     151.90V     264.56V
 4.10A    -209.35V     144.33V     266.13V
 4.20A    -212.75V     161.72V     241.43V
 4.30A    -235.66V     139.24V     289.26V
 4.40A    -244.58V     168.36V     273.63V
 4.50A    -257.14V     181.63V     296.15V
 4.60A    -237.47V     156.65V     296.25V
 4.70A    -241.35V     164.97V     293.54V
 4.80A    -213.62V     175.40V     281.62V
 4.90A    -235.82V     175.13V     293.90V
 5.00A    -246.29V     179.39V     328.05V
 5.10A    -220.25V     181.35V     308.70V
 5.20A    -220.80V     177.29V     296.13V
 5.30A    -179.92V     193.01V     323.65V
 5.40A    -177.99V     198.44V     343.98V
 5.50A    -163.83V     197.16V     330.93V
 5.60A    -149.02V     207.92V     323.77V
 5.70A    -124.27V     206.09V     331.93V
 5.80A     -96.87V     222.33V     324.63V
 5.90A     -86.02V     200.30V     328.37V
 6.00A     -64.58V     216.86V     311.11V
 6.10A     -41.55V     201.33V     299.23V
 6.20A     -19.09V     199.54V     339.93V
 6.30A       3.56V     207.40V     349.38V
 6.40A      24.69V     213.29V     322.40V
 6.50A      43.19V     234.63V     348.91V
 6.60A      70.77V     223.30V     378.46V
 6.70A      85.08V     230.25V     340.03V
 6.80A      99.68V     258.01V     309.53V
