#Funktionen
#        x,    Func 1,    Func 2,    Func 3
 0.0000000, 0.0000000, 0.0049824, 0.0000128
 0.1000000, 0.0000000, 0.0051078, 0.0000137
 0.2000000, 0.0000000, 0.0049651, 0.0000145
 0.3000000, 0.0000000, 0.0047813, 0.0000169
 0.4000000, 0.0000000, 0.0045000, 0.0000151
 0.5000000, 0.0000000, 0.0050124, 0.0000170
 0.6000000, 0.0000000, 0.0048333, 0.0000170
 0.7000000, 0.0000000, 0.0044805, 0.0000176
 0.8000000,          , 0.0049764, 0.0000177
 0.9000000, 0.0000000, 0.0046225, 0.0000185
 1.0000000, 0.0000000, 0.0046376, 0.0000213
 1.1000000,          , 0.0048611, 0.0000218
 1.2000000, 0.0000000, 0.0049656, 0.0000218
 1.3000000, 0.0000000, 0.0050977, 0.0000230
 1.4000000, 0.0000000, 0.0050831, 0.0000226
 1.5000000, 0.0000000, 0.0048818, 0.0000231
 1.6000000, 0.0000000, 0.0048996, 0.0000257
 1.7000000, 0.0000000, 0.0051507, 0.0000254
 1.8000000,          , 0.0051130, 0.0000275
 1.9000000, 0.0000000, 0.0046551, 0.0000296
 2.0000000, 0.0000000, 0.0055483, 0.0000290
 2.1000000, 0.0000000, 0.0051097, 0.0000314
 2.2000000,          , 0.0046733, 0.0000276
 2.3000000, 0.0000000, 0.0053259, 0.0000327
 2.4000000, 0.0000000, 0.0046888, 0.0000367
 2.5000000, 0.0000000, 0.0051999, 0.0000352
 2.6000000,          ,          , 0.0000330
 2.7000000, 0.0000000, 0.0048958, 0.0000404
 2.8000000,          , 0.0050639,          
 2.9000000,          , 0.0049550,          
 3.0000000,          , 0.0048215, 0.0000456
 3.1000000, 0.0000000, 0.0052224, 0.0000459
 3.2000000,          , 0.0056701, 0.0000465
 3.3000000, 0.0000000, 0.0049131, 0.0000472
 3.4000000, 0.0000000, 0.0050929, 0.0000490
 3.5000000, 0.0000000, 0.0047929, 0.0000525
 3.6000000, 0.0000000, 0.0053422, 0.0000535
 3.7000000, 0.0000000, 0.0054437, 0.0000615
 3.8000000, 0.0000000, 0.0050622, 0.0000575
 3.9000000, 0.0000000, 0.0055236, 0.0000558
 4.0000000, 0.0000000, 0.0049129, 0.0000659
 4.1000000, 0.0000000, 0.0053357, 0.0000645
 4.2000000, 0.0000000, 0.0053710, 0.0000660
 4.3000000, 0.0000000, 0.0054032, 0.0000647
 4.4000000, 0.0000000, 0.0055127,          
 4.5000000,          ,          , 0.0000714
 4.6000000, 0.0000000, 0.0056240, 0.0000735
 4.7000000, 0.0000000, 0.0053909, 0.0000811
 4.8000000, 0.0000000, 0.0050993,          
 4.9000000, 0.0000000, 0.0057044, 0.0000819
 5.0000000, 0.0000000,          , 0.0000914
 5.1000000,          , 0.0049384, 0.0000848
 5.2000000,          , 0.0055556, 0.0000935
