#Funktionen
#        x,    Func 1,    Func 2,    Func 3
 0.0000000, 0.0000000,-0.0000000
 0.1000000, 0.4742253,-0.2031594, 0.0865267
 0.2000000, 0.9175041,-0.4137703, 0.1803314
 0.3000000, 1.5839003,-0.6107477, 0.3232413
 0.4000000, 2.0468384,-0.7711047, 0.3882262
 0.5000000, 2.3681001,-1.0422384, 0.5789158
 0.6000000, 2.4783955,-1.2912530, 0.6262827
 0.7000000, 3.5658941,-1.2856634, 0.6275939
 0.8000000, 3.4597010,-1.2346400, 0.8701985
 0.9000000, 4.1470727,-1.6330594, 0.8243427
 1.0000000, 4.7476544,-1.7240618
 1.1000000, 5.1360139,-1.8348884, 0.9341292
 1.2000000, 5.6623325,-2.1073405, 1.1101582
 1.3000000, 5.0405729,-2.2218003, 1.2058814
 1.4000000, 5.7947142,-2.1464977, 1.0054541
 1.5000000, 6.2173609,-2.4170513, 1.5303847
 1.6000000, 7.1710179,-2.4626983, 1.5388856
 1.7000000, 6.7304061,-2.6231134, 1.5115151
 1.8000000, 7.6664289,-3.4145899, 1.5912690
 1.9000000, 7.0160443,-3.5162572
 2.0000000, 8.4499797,-3.3767434, 1.7455551
 2.1000000, 9.4532192,-3.7038833, 1.9601125
 2.2000000, 8.7490690,-3.3468420, 1.9901175
 2.3000000, 9.1355978,-3.8007646
 2.4000000,10.3019525,-3.8066111, 2.2572714
 2.5000000, 8.2632005,-4.1042332, 2.0610917
 2.6000000,10.3494387,-4.0892490, 2.2798767
 2.7000000,10.9857874,-3.6655991
 2.8000000, 8.9531486,-4.5166944, 1.9338100
 2.9000000, 7.9786862,-4.3808544, 2.8570691
 3.0000000,12.7429670,-3.7835411
 3.1000000,10.8882044,-4.1903543
 3.2000000,13.0934131,-3.9396538, 2.7856147
 3.3000000,10.3184807,-5.0159025, 3.0296149
 3.4000000,13.4465469,-4.8605486
 3.5000000,10.6469051,-4.1782299, 2.2981297
 3.6000000,11.7410473,-4.6220954, 3.4810093
 3.7000000,12.6133352,-5.4569294
 3.8000000,11.6905336,-5.1346184, 3.6332022
 3.9000000,12.0478262,-5.5177057, 4.2222433
 4.0000000,12.9367840,-5.1701163, 3.3333382
 4.1000000,14.3704133,-4.9834528
 4.2000000,13.6198081,-5.7913448, 3.4758557
 4.3000000,15.0839552,-4.6463032, 3.7219432
 4.4000000,13.1986100,-4.6990682, 3.8865375
 4.5000000,14.0075194,-5.0159504, 3.0750358
 4.6000000,13.5935966,-5.5941958, 4.2298481
 4.7000000,15.6076729,-5.9169651, 4.3337294
 4.8000000,15.6822694,-6.1279840, 4.1586764
 4.9000000,13.7908578,-6.1163460, 4.3136029
 5.0000000,15.9022169,-6.6719627, 4.0534776
 5.1000000,13.1367920,-5.3603177, 4.0711026
 5.2000000,14.1889565,-5.2305105, 4.5750026
 5.3000000,16.2271310,-5.5470533, 3.7202114
 5.4000000,15.6488651,-5.6485485, 4.9735725
 5.5000000,16.8405412,-6.5114393, 5.0364103
 5.6000000,14.8501354,-6.2750028, 4.0115912
 5.7000000,13.8498075,-6.7417261, 4.5146933
 5.8000000,16.3335080,-5.8250663, 4.7432012
 5.9000000,16.2044114,-6.3960618, 4.6179806
 6.0000000,12.1925487,-6.0471856, 4.8376579
 6.1000000,15.7853205,-6.2910475, 4.9354323
 6.2000000,15.7550996,-6.9579663, 4.2108288
 6.3000000,15.0085166,-6.7088214, 4.7203191
 6.4000000,16.2256089,-6.9538254, 5.8743962
 6.5000000,15.0139087,-7.1516103, 4.7486618
 6.6000000,16.7398472,-6.5421832, 4.8222528
 6.7000000,15.9002997,-5.6398403
 6.8000000,16.2658816,-7.3629610
 6.9000000,17.1093861,-7.1942591, 5.1989138
 7.0000000,17.5403287,-5.2566745, 6.2865825
 7.1000000,19.4171313,-7.1810925, 5.8706382
 7.2000000,13.1829420,-6.8525853, 4.5076559
 7.3000000,17.6191669,-6.6105219, 4.7331218
 7.4000000,16.7534185,-6.2896207, 5.6295823
 7.5000000,15.3076864,-6.7058739
 7.6000000,13.5823094,-6.9581601, 5.1871749
 7.7000000,15.2377884,-5.9266772, 5.5860801
 7.8000000,17.8257828,-6.4164292, 5.7516310
 7.9000000,15.4148152,-6.0265734, 7.1789386
 8.0000000,14.9083790,-7.7107144, 5.4198606
 8.1000000,17.7076018,-6.2172596, 6.9077362
 8.2000000,13.8553393,-6.1184117, 6.1508736
 8.3000000,14.4716227,-6.7809719, 5.6790811
 8.4000000,14.8229465,-7.0261458, 6.4074652
 8.5000000,15.5891169,-6.4335510, 6.0826351
 8.6000000,18.1487521,-6.5417697, 6.8718545
 8.7000000,13.2053412,-5.9728051
 8.8000000,16.8727289,-4.9266765, 5.6161482
 8.9000000,14.0701803,-7.4582108, 5.9264420
 9.0000000,18.0979436,-6.5672929, 7.3301806
 9.1000000,13.5988945,-6.3987460, 6.2230954
 9.2000000,16.1695368,-6.8352142, 6.7093342
 9.3000000,15.9663963,-5.2879972, 6.3863889
 9.4000000,17.7067675,-7.4876412
 9.5000000,14.8663118,-7.1043275, 7.2806974
 9.6000000,13.5883631,-7.0657901, 6.7480218
 9.7000000,14.1098309,-6.4616080, 6.7963826
 9.8000000,15.7623323,-7.6707814, 7.4183115
 9.9000000,16.9681990,-5.3471703, 6.9872267
10.0000000,18.2300064,-5.9653964, 7.7554907
10.1000000,13.9561927,-5.4708461
10.2000000,12.9012623,-6.4382213, 7.9436290
10.3000000,17.1794020,-6.2342930, 6.9316350
10.4000000,12.6714223,-5.5760622, 7.0660508
10.5000000,16.9749843,-6.8050744, 8.4619867
10.6000000,16.3323329,-5.8658962, 7.2171037
10.7000000,15.5120198,-6.3523931, 7.4179818
10.8000000,13.7016046,-5.4138788, 8.3022693
10.9000000,13.8963487,-5.7154027, 8.0067442
11.0000000,14.3277779,-5.4005304, 6.7431661
11.1000000,11.0871592,-6.2107842, 7.8812295
11.2000000,13.0366587,-6.1802640, 7.9060175
11.3000000,14.6529199,-5.9629619, 8.1909236
11.4000000,13.5689216,-6.5655267, 8.2616186
11.5000000,14.8055817,-5.8747437, 8.1979981
11.6000000,12.9301064,-5.8150739, 6.4664139
11.7000000,15.1599455,-5.9873665, 6.2894265
11.8000000,12.3431015,-5.7640796, 8.6472551
11.9000000,13.8442056,-5.4854010, 7.2086494
12.0000000,13.6345812,-5.1746126
12.1000000,12.7747110,-4.8816739, 7.4830299
12.2000000,13.2490839,-5.5898470, 8.1560621
12.3000000,11.2378582,-5.0474719, 9.4389745
12.4000000,13.1957748,-4.6072292, 8.4426626
12.5000000,13.4557448,-4.2459131, 8.3388670
12.6000000,12.1979422,-4.9823706, 8.5748685
12.7000000,15.1362456,-5.3328266, 6.6882602
12.8000000,11.5470475,-5.3706452, 7.5892435
12.9000000,14.6955746,-5.7984940, 6.6224636
13.0000000,14.6384889,-5.5712853
13.1000000,12.8785366,-5.1679354, 6.6486883
13.2000000,13.2136546,-5.6218709
13.3000000,11.7865599,-4.7083903, 7.3185178
13.4000000,14.2815673,-4.6163913, 8.1483200
13.5000000,11.5989868,-5.5116086, 7.0384721
13.6000000,11.7062423,-4.9868583, 9.9634616
13.7000000,11.7870026,-5.1474310, 9.2794480
13.8000000,11.3389260,-4.9992536, 9.3710300
13.9000000,12.8877641,-5.2882081, 9.2364996
14.0000000,11.8344797,-5.3843627, 9.2592049
14.1000000,12.9127293,-5.8398211, 8.6760435
14.2000000,11.1631538,-4.7571542, 8.6878325
14.3000000,13.1132946,-5.1576417, 8.0469248
14.4000000,12.3699755,-5.0691325
14.5000000,12.8861111,-5.0276675, 8.6383482
14.6000000,10.4631349,-3.7638142, 8.2116634
14.7000000,10.6275389,-4.8611607, 8.9437185
14.8000000,10.6634920,-4.4189695, 7.2704624
14.9000000, 9.7697831,-4.4469806, 8.0717171
15.0000000,11.0656750,-4.1395359, 9.1865218
15.1000000,11.2940058,-3.6542485, 7.3421504
15.2000000,13.2865206,-4.8729172, 8.0006837
15.3000000, 9.8206121,-4.4029922, 8.7790410
15.4000000,12.1268272,-3.5415700, 8.9182238
15.5000000,11.7447016,-4.8187213, 9.6148986
15.6000000,10.4007082,-4.3028500, 8.2153286
15.7000000,10.9933742,-4.2722008, 9.1881243
15.8000000,10.5736912,-4.6686240, 8.8102970
15.9000000,10.9682151,-4.6288160, 8.7742648
16.0000000, 8.8479725,-3.5793523
16.1000000,10.0755857,-3.6568305,10.3649493
16.2000000, 8.8630969,-3.7485428, 9.9800132
16.3000000, 8.7923780,-3.7501271, 9.6689655
16.4000000, 9.3307894,-3.2331890,10.4289690
16.5000000, 9.5749927,-4.1116824, 8.6084012
16.6000000, 9.3779295,-3.2854804, 8.8621761
16.7000000, 9.7202313,-3.4571766, 8.7084095
16.8000000, 8.8390760,-3.2148245, 9.8003600
16.9000000,10.1581195,-3.4141050, 8.2009990
17.0000000, 9.6080783,-4.2060810, 8.7641167
17.1000000, 7.3346100,-2.7616967, 8.5055012
17.2000000,10.5485343,-3.8552783, 9.9862445
17.3000000, 8.1753676,-3.3608772, 9.3782730
17.4000000, 7.9462063,-4.2006597, 7.8208855
17.5000000, 9.2941900,-4.1471462,10.8312034
17.6000000, 7.9175911,-3.8639016, 9.3132270
17.7000000, 8.6177447,-3.0875375, 8.3921795
17.8000000, 9.0716396,-3.6050931,10.0994323
17.9000000, 8.4758627,-3.3877419, 9.7494960
18.0000000, 9.4267786,-3.5356294,10.0369473
18.1000000, 9.4516869,-3.2752640, 9.9354888
18.2000000, 7.1553244,-3.3422991, 7.9562720
18.3000000, 8.0931157,-2.9538261, 9.6539184
18.4000000, 9.1690431,-3.0762251, 8.8567269
18.5000000, 7.4358863,-2.6977474, 9.8692927
18.6000000, 7.7709981,-2.9687788, 9.8086779
18.7000000, 7.4476946,-2.7995274, 8.1652239
18.8000000, 7.3333068,-3.3311347, 9.7843270
18.9000000, 8.0180601,-3.2189945, 9.5692847
19.0000000, 7.0589994,-2.2389646, 9.7137367
19.1000000, 7.0965858,-3.1000419, 7.8760534
19.2000000, 5.8083146,-1.9203233,10.0674919
19.3000000, 6.4647918,-2.8824478, 9.4499840
