Messung Nr,Photonen
0,-33
1,-49
2,36
3,19
4,27
5,27
6,25
7,16
8,35
9,19
10,-11
11,-14
12,42
13,29
14,22
15,-51
16,-23
17,21
18,-23
19,-31
20,-46
21,29
22,34
23,5
24,44
25,32
26,-41
27,44
28,-19
29,40
30,-17
31,-19
32,27
33,-20
34,19
35,-19
36,-14
37,21
38,-22
39,-37
40,35
41,-31
42,-18
43,-34
44,31
45,19
46,-22
47,-34
48,23
49,-39
50,-36
51,-29
52,-31
53,10
54,16
55,-28
56,28
57,-35
58,33
59,29
60,38
61,25
62,30
63,13
64,-15
65,-24
66,17
67,-28
68,-27
69,-26
70,27
71,-20
72,-25
73,-35
74,1
75,-19
76,25
77,-11
78,-20
79,14
80,38
81,-36
82,-14
83,-24
84,22
85,-3
86,27
87,-20
88,-20
89,-35
90,26
91,28
92,-17
93,-41
94,19
95,-41
96,-22
97,20
98,22
99,24
100,24
101,-28
102,38
103,-30
104,18
105,38
106,-40
107,35
108,39
109,-23
110,47
111,-39
112,32
113,42
114,-26
115,36
116,24
117,38
118,28
119,16
120,-17
121,30
122,28
123,9
124,-26
125,-23
126,-21
127,43
128,32
129,29
130,0
131,43
132,-9
133,39
134,-23
135,-37
136,-8
137,30
138,-21
139,24
140,-29
141,22
142,33
143,-24
144,-26
145,-27
146,27
147,-25
148,32
149,4
150,25
151,-37
152,-34
153,22
154,-29
155,20
156,-7
157,-30
158,-12
159,-33
160,-30
161,-39
162,-33
163,21
164,41
165,-32
166,-8
167,-24
168,-20
169,27
170,37
171,43
172,-38
173,21
174,41
175,-29
176,23
177,-20
178,-27
179,-24
180,45
181,-35
182,-19
183,-39
184,-25
185,12
186,-30
187,-26
188,20
189,24
190,-23
191,-14
192,12
193,-5
194,-37
195,23
196,29
197,37
198,25
199,17
200,37
201,-11
202,12
203,-24
204,29
205,-47
206,17
207,-33
208,14
209,24
210,17
211,-31
212,28
213,1
214,-26
215,-17
216,-44
217,27
218,-36
219,21
220,-26
221,16
222,31
223,15
224,41
225,-45
226,23
227,-23
228,-31
229,-13
230,29
231,24
232,-30
233,34
234,13
235,22
236,-19
237,-29
238,-22
239,-16
240,-14
241,-18
242,27
243,19
244,26
245,28
246,18
247,-29
248,28
249,31
250,17
251,20
252,29
253,18
254,32
255,-22
256,30
257,-25
258,-20
259,-31
260,22
261,-38
262,-29
263,37
264,-22
265,34
266,43
267,-18
268,-32
269,31
270,-27
271,-16
272,-34
273,35
274,27
275,18
276,14
277,-37
278,21
279,-33
280,22
281,33
282,21
283,-12
284,-31
285,-29
286,-28
287,25
288,29
289,31
290,-26
291,6
292,-28
293,27
294,-45
295,31
296,-24
297,-19
298,32
299,49
300,-41
301,29
302,-52
303,21
304,-29
305,-13
306,16
307,22
308,-26
309,36
310,-28
311,12
312,35
313,24
314,-17
315,-22
316,-2
317,42
318,12
319,23
320,-38
321,-28
322,-21
323,-31
324,-15
325,-26
326,14
327,24
328,-32
329,-31
330,30
331,12
332,-35
333,12
334,-5
335,15
336,-17
337,18
338,-34
339,-24
340,-24
341,-15
342,-20
343,-18
344,33
345,-22
346,-24
347,-14
348,-37
349,-9
350,36
351,34
352,32
353,42
354,14
355,-20
356,-31
357,5
358,-20
359,11
360,24
361,37
362,29
363,-24
364,-15
365,12
366,11
367,18
368,12
369,-38
370,24
371,-11
372,36
373,-24
374,18
375,22
376,-29
377,-14
378,36
379,19
380,-13
381,-26
382,33
383,5
384,-14
385,-31
386,-30
387,-30
388,-30
389,28
390,-30
391,22
392,-22
393,-9
394,21
395,18
396,28
397,13
398,33
399,-26
400,24
401,-31
402,23
403,27
404,-30
405,26
406,37
407,26
408,19
409,34
410,34
411,-27
412,44
413,-26
414,37
415,36
416,27
417,-47
418,-15
419,36
420,-38
421,-9
422,39
423,-8
424,-20
425,44
426,10
427,18
428,38
429,-23
430,26
431,14
432,28
433,36
434,32
435,-14
436,19
437,-21
438,49
439,33
440,41
441,40
442,11
443,-20
444,18
445,30
446,-44
447,-25
448,6
449,-7
450,-34
451,8
452,7
453,-22
454,28
455,15
456,-31
457,29
458,36
459,-26
460,-30
461,42
462,-25
463,37
464,17
465,48
466,-15
467,-30
468,4
469,43
470,33
471,-20
472,28
473,32
474,31
475,30
476,17
477,-38
478,-14
479,13
480,-27
481,29
482,-34
483,-21
484,-37
485,41
486,17
487,-24
488,-28
489,32
490,14
491,-23
492,25
493,47
494,37
495,-25
496,25
497,-19
498,-20
499,-20
500,-22
501,-15
502,32
503,21
504,-37
505,-14
506,33
507,-21
508,16
509,23
510,-18
511,-17
512,9
513,37
514,-21
515,19
516,24
517,-21
518,-20
519,32
520,10
521,24
522,29
523,10
524,24
525,28
526,13
527,-22
528,-30
529,-35
530,20
531,-43
532,24
533,-17
534,-36
535,29
536,28
537,29
538,-10
539,-25
540,-41
541,18
542,-17
543,-25
544,-27
545,-30
546,46
547,10
548,18
549,-14
550,22
551,-16
552,-27
553,-30
554,54
555,-16
556,18
557,-24
558,2
559,16
560,-33
561,-32
562,7
563,19
564,19
565,-24
566,42
567,37
568,-33
569,33
570,-34
571,40
572,11
573,-36
574,43
575,-29
576,34
577,10
578,25
579,-18
580,28
581,-25
582,-24
583,-25
584,-45
585,-20
586,13
587,25
588,15
589,-13
590,-21
591,-37
592,25
593,10
594,-9
595,-34
596,30
597,-25
598,45
599,-19
600,26
601,-32
602,-25
603,24
604,-4
605,-28
606,25
607,33
608,15
609,-27
610,37
611,15
612,-21
613,15
614,22
615,31
616,30
617,-21
618,22
619,7
620,23
621,-15
622,29
623,-27
624,39
625,-33
626,-12
627,-16
628,35
629,-25
630,29
631,15
632,31
633,-24
634,-30
635,22
636,-40
637,25
638,25
639,20
640,-27
641,-29
642,32
643,-26
644,32
645,-13
646,1
647,23
648,-14
649,32
650,-18
651,45
652,-35
653,-16
654,-23
655,37
656,19
657,35
658,12
659,-19
660,27
661,-28
662,10
663,23
664,13
665,35
666,20
667,42
668,19
669,29
670,0
671,-34
672,-18
673,-21
674,33
675,-33
676,32
677,-20
678,29
679,7
680,-32
681,17
682,11
683,-8
684,24
685,10
686,-6
687,-38
688,-13
689,29
690,-26
691,-13
692,24
693,25
694,-24
695,17
696,26
697,-33
698,34
699,17
700,-2
701,-36
702,19
703,-16
704,2
705,-28
706,-31
707,37
708,29
709,-26
710,22
711,27
712,-16
713,36
714,-22
715,18
716,25
717,28
718,-34
719,36
720,31
721,-25
722,-24
723,-8
724,-17
725,-22
726,-32
727,-7
728,20
729,-54
730,42
731,-25
732,-27
733,-26
734,-46
735,21
736,21
737,-35
738,28
739,33
740,-11
741,-8
742,27
743,33
744,34
745,25
746,-39
747,29
748,-31
749,-38
750,-43
751,31
752,18
753,32
754,-24
755,12
756,20
757,-19
758,39
759,26
760,-33
761,25
762,33
763,-31
764,9
765,-46
766,-14
767,11
768,-31
769,32
770,27
771,-38
772,-26
773,-40
774,23
775,-29
776,-40
777,21
778,-40
779,23
780,-16
781,-27
782,41
783,28
784,27
785,11
786,-28
787,23
788,27
789,-26
790,-12
791,26
792,-38
793,-29
794,-42
795,-27
796,11
797,11
798,42
799,-11
800,-30
801,-16
802,-34
803,-16
804,40
805,20
806,-19
807,13
808,-29
809,27
810,-52
811,21
812,-33
813,-16
814,33
815,10
816,-34
817,15
818,38
819,-28
820,-20
821,-35
822,-9
823,-18
824,-29
825,-21
826,-33
827,36
828,-33
829,30
830,29
831,-25
832,7
833,-42
834,12
835,-33
836,30
837,33
838,-21
839,32
840,25
841,17
842,-30
843,11
844,-11
845,26
846,-4
847,-12
848,26
849,-21
850,-34
851,0
852,-34
853,-23
854,-21
855,-34
856,37
857,-44
858,18
859,-26
860,-27
861,24
862,-21
863,-44
864,-25
865,34
866,16
867,-18
868,-24
869,23
870,33
871,-25
872,-24
873,-14
874,-23
875,-52
876,-23
877,-12
878,15
879,9
880,36
881,-30
882,-27
883,-33
884,31
885,-15
886,-26
887,33
888,-17
889,-30
890,28
891,34
892,27
893,-1
894,-38
895,37
896,-25
897,21
898,16
899,36
900,30
901,-19
902,-10
903,-27
904,-22
905,-14
906,-9
907,-20
908,-20
909,41
910,-16
911,37
912,-31
913,-25
914,-10
915,30
916,15
917,-15
918,-24
919,-23
920,26
921,39
922,26
923,-21
924,-8
925,29
926,-33
927,-35
928,28
929,37
930,24
931,41
932,32
933,0
934,-16
935,-40
936,-33
937,-7
938,-30
939,-22
940,16
941,22
942,38
943,7
944,24
945,26
946,-31
947,-24
948,-9
949,36
950,-19
951,-27
952,38
953,-11
954,-22
955,-19
956,24
957,-24
958,-31
959,26
960,-34
961,-37
962,17
963,28
964,20
965,31
966,22
967,28
968,37
969,-20
970,26
971,-29
972,28
973,-17
974,-18
975,35
976,35
977,38
978,51
979,-29
980,18
981,29
982,22
983,-11
984,-17
985,31
986,33
987,40
988,34
989,23
990,14
991,-34
992,25
993,-39
994,-29
995,-33
996,-31
997,-15
998,17
999,-13
